matchId,blueTeamTotalKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamTotalGold,blueTeamXp,redTeamTotalKills,redTeamTowersDestroyed,redTeamMinionsKilled,redTeamTotalGold,redTeamXp,blueWin
EUW1_6882489515',4,0,0,7,0,388,23923,29798,16,2,400,29637,32613,1
EUW1_6882416210',12,0,1,10,0,348,27852,30530,17,1,373,28970,30320,0
EUW1_6881092720',13,0,0,11,0,331,28126,29501,18,2,340,30510,29464,0
EUW1_6879405717',8,1,1,9,1,355,27333,30466,10,0,378,25157,31069,0
EUW1_6879389461',11,1,1,7,0,370,27772,31066,7,1,382,26052,29475,1
EUW1_6879371828',3,0,0,16,0,369,24011,26872,15,3,357,28368,30422,0
EUW1_6878383684',15,0,1,10,0,331,27717,30575,9,1,403,28584,29831,1
EUW1_6878298308',11,0,0,8,1,392,27834,31205,5,0,359,24105,29335,1
EUW1_6878182424',7,0,1,9,1,403,27339,30398,11,0,397,26470,30053,1
EUW1_6878139143',15,1,0,9,0,314,28220,30249,16,0,381,28806,31373,0
EUW1_6878103014',15,0,1,5,1,339,29311,30297,16,0,357,29016,31764,1
EUW1_6878057215',6,0,0,8,0,314,23614,28459,10,1,424,28919,31398,0
EUW1_6878033584',7,0,0,10,0,397,25028,29998,14,1,392,29252,29621,0
EUW1_6878003846',15,0,0,10,0,388,30853,31942,9,1,349,25976,26594,1
EUW1_6877975035',9,1,1,7,1,395,28301,32824,8,1,384,26185,29361,1
EUW1_6875344552',7,0,0,12,0,340,25720,26327,26,2,370,33463,31967,0
EUW1_6875306770',8,0,0,12,1,388,26121,28171,17,1,378,30069,31943,0
EUW1_6875259973',21,0,0,6,1,315,29574,29142,15,1,320,29312,29536,0
EUW1_6875217596',8,1,1,5,1,396,26832,31931,4,0,351,22703,28019,1
EUW1_6875197822',11,0,1,9,1,365,27995,29827,14,0,356,27464,29406,0
EUW1_6879360874',11,0,1,14,0,360,28509,30266,22,2,365,30744,32658,0
EUW1_6869300631',6,0,1,11,1,372,24998,29079,10,1,366,26747,30308,0
EUW1_6869276441',9,0,0,8,0,373,26596,29128,18,0,345,28966,30154,0
EUW1_6869246594',13,0,1,10,0,383,30241,30863,22,1,337,31071,30097,0
EUW1_6829920333',25,0,1,8,1,395,33987,34071,8,2,329,24540,28461,1
EUW1_6882482484',16,0,2,8,1,385,30746,31305,9,0,343,26009,28740,1
EUW1_6882456043',18,1,2,7,1,391,29687,31892,0,0,328,20460,26145,1
EUW1_6882436994',19,0,0,8,1,359,29789,30957,16,1,301,27379,29385,1
EUW1_6882425551',22,1,0,8,1,332,30938,32232,8,1,293,24170,25255,1
EUW1_6880935420',12,0,3,6,1,413,30662,31213,7,0,302,23702,26397,1
EUW1_6880909380',19,0,2,10,1,344,31101,29363,11,1,340,27309,27810,1
EUW1_6880890229',16,0,0,15,0,331,27437,28886,11,3,341,29032,28818,0
EUW1_6879474161',6,0,0,13,0,344,23847,27298,17,3,390,31306,30319,0
EUW1_6879450066',12,0,1,6,0,411,28053,30926,5,0,345,23338,28548,1
EUW1_6879424931',15,0,1,9,1,355,29346,28824,13,0,363,27430,29290,0
EUW1_6879325614',12,0,0,13,0,348,27347,29964,17,1,300,28539,30511,0
EUW1_6879310911',14,0,0,17,0,329,27083,27569,27,3,361,35265,32112,0
EUW1_6878006751',14,0,1,12,0,306,27074,26000,19,1,349,30509,29369,0
EUW1_6877969177',11,1,1,4,0,392,28874,29002,11,0,349,26139,27984,0
EUW1_6877956644',10,0,1,10,1,367,28396,32017,12,0,355,25854,31575,1
EUW1_6877891153',10,0,1,8,0,332,25763,28626,16,0,353,28343,31125,0
EUW1_6877879899',17,1,1,3,1,342,29527,28610,16,1,304,28109,28481,0
EUW1_6877867925',8,0,0,8,0,355,24049,29168,20,2,391,31219,32491,0
EUW1_6877850091',22,0,0,11,1,349,30558,32138,17,0,334,29064,30293,1
EUW1_6879349198',16,1,0,17,0,282,27176,29756,11,3,349,28460,28904,0
EUW1_6872767863',9,0,0,9,1,361,25626,27579,23,1,333,31185,31803,0
EUW1_6872712198',14,0,1,7,0,366,27864,31232,12,0,321,26001,29789,1
EUW1_6872638403',14,0,0,7,0,320,27617,29772,16,0,359,27682,29944,1
EUW1_6872613273',18,0,1,8,1,354,31940,31827,11,0,345,27343,28639,1
EUW1_6870154666',16,0,2,4,1,425,31944,34857,8,1,328,23056,28357,1
EUW1_6869224469',14,0,1,12,1,393,30464,29607,18,2,302,30630,28913,1
EUW1_6869187175',12,1,0,8,1,389,26737,30627,10,0,384,26876,29744,1
EUW1_6869159452',14,0,1,7,1,348,27655,28707,3,0,332,22073,26423,1
EUW1_6867771512',12,0,1,2,1,346,27783,28145,7,0,298,23582,26925,1
EUW1_6867736241',18,0,0,7,1,359,30561,28250,19,1,334,29558,27292,1
EUW1_6867728692',16,0,1,9,1,317,29175,29354,8,0,346,25114,25451,1
EUW1_6867706172',14,0,1,8,1,402,29460,31824,10,1,311,26199,28528,1
EUW1_6867692806',8,0,1,10,0,377,26499,28791,9,1,379,26157,29110,0
EUW1_6867677699',24,0,1,9,1,345,33338,31437,11,1,372,26812,30418,1
EUW1_6867663986',12,0,2,4,1,405,28678,31269,5,0,299,22444,27514,1
EUW1_6867658653',14,1,1,7,0,419,31349,34393,7,1,357,23627,28779,1
EUW1_6866602810',16,0,1,5,0,405,30335,33535,5,0,351,23384,28136,1
EUW1_6883322609',16,0,2,5,1,418,30604,32596,4,0,347,22483,27193,1
EUW1_6883246513',15,0,0,7,1,343,27906,29574,10,1,310,25822,28918,0
EUW1_6883171691',17,1,2,9,0,342,31416,30196,9,2,355,27830,27670,1
EUW1_6882840815',15,0,1,11,0,385,29741,29018,16,1,351,29374,29028,0
EUW1_6882786083',16,1,1,6,1,375,29762,32538,7,1,384,25318,30709,1
EUW1_6881799024',17,0,1,7,1,323,31603,32525,8,1,340,24497,26104,1
EUW1_6881697918',10,0,0,7,0,330,24931,28697,12,0,343,26694,28708,0
EUW1_6879962130',11,0,1,10,0,355,28238,30106,16,1,363,28946,31468,0
EUW1_6879899279',19,0,1,7,0,336,29540,29629,15,0,325,27258,27584,1
EUW1_6879616200',18,0,0,9,1,360,30083,30783,9,2,343,24933,28126,0
EUW1_6879474038',10,0,0,7,1,360,26233,30015,14,0,387,27586,31379,1
EUW1_6879440356',11,0,1,6,1,387,28025,32477,6,0,346,24007,28966,1
EUW1_6879427639',14,0,0,14,1,301,28739,27809,18,1,343,30490,28248,0
EUW1_6879399367',11,0,0,4,1,387,27383,29323,14,0,314,26325,29945,1
EUW1_6878860917',18,0,1,12,1,356,30081,31068,7,3,383,27529,29101,1
EUW1_6878800720',12,0,1,9,1,391,29659,32536,10,0,370,26568,29411,1
EUW1_6878753644',14,1,0,8,0,338,27793,30573,13,0,341,27452,29245,1
EUW1_6878702910',8,0,0,8,0,349,25397,28712,10,1,380,27198,31275,0
EUW1_6878658793',9,0,0,9,0,320,25650,28052,16,1,356,28314,30545,0
EUW1_6881065995',15,0,1,11,0,338,28522,30670,11,1,390,28930,30390,0
EUW1_6881016403',12,0,0,14,0,320,27316,27304,19,3,356,32073,29540,0
EUW1_6880972212',15,0,1,11,0,385,30089,31246,16,1,348,28283,30780,1
EUW1_6880905919',11,0,0,6,1,392,27039,30485,8,1,391,25187,28590,0
EUW1_6880887817',13,0,0,16,0,288,25462,24315,19,3,335,32124,30600,0
EUW1_6880876517',16,0,1,10,1,320,29822,28329,17,1,331,30493,28801,0
EUW1_6880857669',16,0,1,8,1,324,28823,29780,4,1,382,25049,29202,0
EUW1_6879724981',16,0,0,13,1,363,29199,29438,16,2,382,30628,30333,1
EUW1_6879641249',9,0,0,8,0,381,26474,28920,10,1,386,26720,29258,0
EUW1_6879605389',19,0,0,15,0,331,30883,29339,19,4,369,33574,29832,0
EUW1_6879548140',6,0,0,9,0,398,25015,29196,10,0,405,27455,31539,0
EUW1_6879516026',18,0,2,7,1,336,31541,30003,17,1,322,28105,27953,1
EUW1_6879477830',16,0,0,15,1,366,27962,28060,16,1,379,30226,29232,0
EUW1_6879416454',7,0,0,10,1,369,24527,28897,14,0,427,29210,32530,0
EUW1_6879395202',17,0,2,3,1,395,30724,31640,7,0,337,23539,26465,1
EUW1_6878727750',14,0,1,16,1,333,28970,28972,17,2,331,30415,30674,0
EUW1_6878668033',10,0,1,10,1,364,27243,29557,6,1,368,26254,29297,1
EUW1_6878594652',13,1,1,13,0,351,28701,31138,19,1,382,30421,31086,1
EUW1_6883426016',16,0,1,18,0,348,29738,30344,15,3,324,30173,29032,1
EUW1_6882923538',9,0,0,13,0,295,24770,24765,15,4,393,31766,29997,0
EUW1_6882392893',10,0,0,9,0,298,24936,27994,17,2,382,30790,31950,0
EUW1_6881540057',15,0,1,12,1,355,30990,28496,27,2,331,32143,29523,0
EUW1_6881474931',17,1,0,12,1,373,28812,31413,6,1,366,25883,29599,0
EUW1_6881140491',10,0,0,11,1,360,25579,28429,13,1,336,27011,29406,0
